Campaign,Device,Impressions,Clicks,Cost
Retargeting,mobile,110623,9932,11000.25
Retargeting,mobile,11914,471,44.16
Retargeting,mobile,77788,299,541.53
Retargeting,mobile,85005,7311,12986.41
Retargeting,mobile,356559,27971,38726.42
Retargeting,mobile,116657,10344,20735.96
Retargeting,mobile,271846,14783,8822.93
Retargeting,mobile,341004,2021,2056.37
Retargeting,mobile,302909,26335,22043.77
Retargeting,mobile,331798,27947,5422.38
Retargeting,mobile,157555,2069,5009.8
Retargeting,mobile,460032,3119,2497.22
Retargeting,mobile,451108,5019,4067.35
Retargeting,mobile,493457,19531,36570.1
Retargeting,mobile,219194,18521,12377.16
Retargeting,desktop,5446,48,71.85
Retargeting,desktop,115080,9353,11028.02
Retargeting,desktop,435064,40836,52953.7
Retargeting,desktop,199164,6576,5918.27
Retargeting,desktop,108878,9404,16002.55
Retargeting,desktop,227990,19389,10190.68
Retargeting,desktop,55748,5465,5495.87
Retargeting,desktop,265297,16387,1509.91
Retargeting,desktop,321931,28571,29590.86
Retargeting,desktop,148509,306,132.98
Retargeting,desktop,450596,21488,43777.3
Retargeting,desktop,296352,25657,9777.9
Retargeting,desktop,226045,6990,4914.05
Retargeting,desktop,51544,3116,7272.31
Retargeting,desktop,181276,17518,21670.15
Retargeting,desktop,280194,7698,1616.89
Retargeting,desktop,22181,356,133.82
Retargeting,desktop,88321,8828,5047.6
Retargeting,desktop,398995,21783,33121.3
Retargeting,desktop,441995,16740,15934.21
Retargeting,tablet,179407,3742,2856.93
Retargeting,tablet,455777,39592,77595.28
Retargeting,tablet,375922,32043,12227.53
Retargeting,tablet,289972,25249,7712.91
Retargeting,tablet,21519,1675,384.12
Retargeting,tablet,455121,9665,20101.65
Retargeting,tablet,179728,3768,5867.55
Retargeting,tablet,410942,24785,5893.79
Retargeting,tablet,289502,7340,10544.78
Retargeting,tablet,140840,5988,13367.5
Retargeting,tablet,296932,17517,40576.64
Retargeting,tablet,241002,9092,2854.34
Retargeting,tablet,24987,1221,98.09
Retargeting,tablet,352488,963,264.46
Retargeting,tablet,61346,337,172.01
Retargeting,tablet,412834,38466,41600.34
Retargeting,tablet,61585,3703,1703.71
Retargeting,tablet,127573,2614,4895.54
Retargeting,tablet,54914,3574,8153.63
Retargeting,tablet,199326,17800,40541.2
Display_RSA,mobile,155153,9024,6053.79
Display_RSA,mobile,251090,10314,3045.89
Display_RSA,mobile,342862,20812,3060.81
Display_RSA,mobile,6508,312,570.92
Display_RSA,mobile,168903,14750,14876.99
Display_RSA,mobile,209957,2073,429.67
Display_RSA,mobile,167382,14947,4825.45
Display_RSA,mobile,113823,10132,19817.21
Display_RSA,mobile,468250,35590,77431.52
Display_RSA,mobile,246849,21696,19998.85
Display_RSA,mobile,97061,8883,4967.38
Display_RSA,mobile,105446,4046,3775.47
Display_RSA,mobile,430904,18411,4953.78
Display_RSA,mobile,395939,29363,7977.83
Display_RSA,mobile,302128,21095,18569.2
Display_RSA,mobile,120236,6407,15493.19
Display_RSA,mobile,22523,1350,685.38
Display_RSA,mobile,416619,37955,84984.11
Display_RSA,mobile,159759,4037,3508.62
Display_RSA,mobile,286330,20044,29434.9
Display_RSA,desktop,313456,3026,1968.38
Display_RSA,desktop,11681,509,526.48
Display_RSA,desktop,141542,9040,19666.63
Display_RSA,desktop,383294,4933,506.67
Display_RSA,desktop,6199,307,580.01
Display_RSA,desktop,189319,16173,19385.67
Display_RSA,desktop,451423,10114,3006.79
Display_RSA,desktop,408762,21511,5139.24
Display_RSA,desktop,498668,43607,20689.04
Display_RSA,desktop,407957,9811,24164.44
Display_RSA,desktop,431728,20967,16747.94
Display_RSA,desktop,372890,33718,70638.82
Display_RSA,desktop,316565,9627,3460.28
Display_RSA,desktop,109391,2331,3231.83
Display_RSA,desktop,379865,2091,4099.14
Display_RSA,desktop,431456,40873,82540.89
Display_RSA,desktop,476609,36248,76474.59
Display_RSA,desktop,392215,13473,6554.34
Display_RSA,desktop,227826,17622,7698.13
Display_RSA,desktop,375773,16216,10845.86
Display_RSA,tablet,34771,2803,6756.06
Display_RSA,tablet,424757,28201,39360.46
Display_RSA,tablet,284837,14408,30770.69
Display_RSA,tablet,238664,366,373.13
Display_RSA,tablet,178560,5630,3839.8
Display_RSA,tablet,13797,1333,3112.51
Display_RSA,tablet,300160,629,127.49
Display_RSA,tablet,187092,4541,6830.52
Display_RSA,tablet,73611,2132,5242.34
Display_RSA,tablet,146182,6527,9346.51
Display_RSA,tablet,91268,1472,915.8
Display_RSA,tablet,4920,100,134.53
Display_RSA,tablet,263615,21271,49031.08
Display_RSA,tablet,488644,45001,72713.59
Display_RSA,tablet,119347,3915,3197.82
Display_RSA,tablet,361159,31390,75132.67
Display_RSA,tablet,374736,27026,23662.11
Display_RSA,tablet,321490,29728,54525.34
Display_RSA,tablet,343573,18047,43895.12
Display_RSA,tablet,116065,799,1844.03
YouTube_Video,mobile,401133,33544,54708.81
YouTube_Video,mobile,194299,5235,6823.81
YouTube_Video,mobile,416487,13369,10881.23
YouTube_Video,mobile,364099,19642,41838.01
YouTube_Video,mobile,195832,5422,9586.87
YouTube_Video,mobile,387095,30469,45908.12
YouTube_Video,mobile,449935,8086,18166.66
YouTube_Video,mobile,270458,18728,18243.59
YouTube_Video,mobile,82673,4115,4508.17
YouTube_Video,mobile,494718,37333,67685.26
YouTube_Video,mobile,411134,3426,4326.4
YouTube_Video,mobile,207363,11412,11306.36
YouTube_Video,mobile,444267,10810,14953.97
YouTube_Video,mobile,22343,2157,5293.26
YouTube_Video,mobile,424595,16733,26600.43
YouTube_Video,mobile,141260,12083,27627.95
YouTube_Video,mobile,73942,6365,9938.38
YouTube_Video,mobile,346881,5384,6139.88
YouTube_Video,mobile,485603,15803,38392.73
YouTube_Video,mobile,201463,14195,14524.86
YouTube_Video,desktop,478146,21339,23972.57
YouTube_Video,desktop,327318,29792,37106.47
YouTube_Video,desktop,112156,1962,2171.13
YouTube_Video,desktop,280998,13386,30490.3
YouTube_Video,desktop,347297,19374,14148.78
YouTube_Video,desktop,199626,18339,1097.07
YouTube_Video,desktop,100530,8666,9749.2
YouTube_Video,desktop,12028,73,115.88
YouTube_Video,desktop,318523,7947,16661.4
YouTube_Video,desktop,109320,2842,2125.01
YouTube_Video,desktop,285342,6578,4732.23
YouTube_Video,desktop,308095,24829,16502.88
YouTube_Video,desktop,359365,29265,58183.86
YouTube_Video,desktop,424967,11018,15272.86
YouTube_Video,desktop,258325,13771,29558.89
YouTube_Video,desktop,404212,13703,19839.67
YouTube_Video,desktop,201936,6721,5013.3
YouTube_Video,desktop,57696,207,70.23
YouTube_Video,desktop,392782,876,1214.1
YouTube_Video,desktop,354324,8961,2098.66
YouTube_Video,tablet,196940,18772,37983.7
YouTube_Video,tablet,230202,16493,28191.39
YouTube_Video,tablet,398730,34638,29201.05
YouTube_Video,tablet,65959,3633,6572.17
YouTube_Video,tablet,184612,9997,13708.62
YouTube_Video,tablet,178925,16141,5279.46
YouTube_Video,tablet,482198,24753,24427.37
YouTube_Video,tablet,292969,136,338.28
YouTube_Video,tablet,334202,13043,32192.66
YouTube_Video,tablet,243001,19698,41262.47
YouTube_Video,tablet,215415,10015,17747.43
YouTube_Video,tablet,236608,20327,34325.37
YouTube_Video,tablet,104474,5898,7898.41
YouTube_Video,tablet,356754,25514,37490.23
YouTube_Video,tablet,213468,11020,23803.76
YouTube_Video,tablet,307408,24056,42429.59
YouTube_Video,tablet,393572,4449,5592.93
YouTube_Video,tablet,391997,16238,26287.22
YouTube_Video,tablet,341129,19073,30377.66
YouTube_Video,tablet,214384,20629,8920.15
Shopping,mobile,409345,26048,51237.99
Shopping,mobile,444688,11685,22556.43
Shopping,mobile,428465,39689,2969.28
Shopping,mobile,479496,17349,34799.12
Shopping,mobile,216555,17843,14167.14
Shopping,mobile,243258,8508,10525.51
Shopping,mobile,245896,16732,2697.21
Shopping,mobile,268534,3241,6075.68
Shopping,mobile,222562,2295,2111.82
Shopping,mobile,345375,29008,2853.41
Shopping,mobile,266899,23283,55134.41
Shopping,mobile,362993,6108,6320.03
Shopping,mobile,362186,18084,27708.94
Shopping,mobile,110518,8662,4841.07
Shopping,mobile,465532,21895,15528.36
Shopping,mobile,40261,2873,5990.66
Shopping,mobile,275306,21597,20562.72
Shopping,mobile,269183,18283,33914.56
Shopping,mobile,89370,4874,8042.17
Shopping,mobile,375046,36463,25922.04
Shopping,desktop,320640,24253,15004.82
Shopping,desktop,295148,13107,6190.3
Shopping,desktop,415065,17018,36987.92
Shopping,desktop,173828,7294,4988.95
Shopping,desktop,320789,23166,15019.84
Shopping,desktop,347470,2011,4297.19
Shopping,desktop,456308,40803,42286.85
Shopping,desktop,487538,28306,66127.16
Shopping,desktop,131247,12878,9134.03
Shopping,desktop,39031,2573,4745.11
Shopping,desktop,457682,37964,43156.05
Shopping,desktop,479750,47736,19716.93
Shopping,desktop,496701,17179,20194.07
Shopping,desktop,86215,2281,4464.45
Shopping,desktop,469645,46917,53000.7
Shopping,desktop,163404,12320,12712.42
Shopping,desktop,61731,5893,3271.58
Shopping,desktop,358249,20030,4349.6
Shopping,desktop,120338,6514,5454.54
Shopping,desktop,487857,6561,15684.31
Shopping,tablet,24582,236,479.84
Shopping,tablet,13207,453,781.01
Shopping,tablet,260239,23076,31035.23
Shopping,tablet,380564,28995,25776.14
Shopping,tablet,440284,18004,6108.12
Shopping,tablet,364141,11327,3209.12
Shopping,tablet,210560,7652,9662.99
Shopping,tablet,199125,5534,13474.87
Shopping,tablet,124593,4657,5510.68
Shopping,tablet,305051,12776,7271.74
Shopping,tablet,375831,16910,14522.09
Shopping,tablet,312227,3645,8304.2
Shopping,tablet,42341,388,34.05
Shopping,tablet,3740,255,212.4
Shopping,tablet,201879,19023,14337.21
Shopping,tablet,103699,6562,2901.5
Shopping,tablet,433130,42349,17916.55
Shopping,tablet,480031,2006,174.91
Shopping,tablet,77115,7188,12067.12
Shopping,tablet,30947,2323,2275.96
